 Gift $ ,X,Y
" $24,000 ",-73.72677525,40.7866462
" $7,000 ",-73.6215876,40.7054597
" $5,000 ",-81.7683912,24.5634288
" $56,500 ",-85.646145,38.25538
" $15,000 ",-73.9725997,40.7588457
" $5,125 ",-73.9854364,40.7584526
" $1,000,000 ",-74.0048197,40.733293
" $60,000 ",-73.9583457,40.7687768
" $5,600 ",-85.6624801,38.1962739
" $17,050 ",-85.59082,38.146178
" $7,600 ",-85.7058353,38.2602963
" $73,769 ",-85.443197,38.372929
" $5,000 ",-85.646145,38.25538
" $81,617 ",-85.646145,38.25538
" $10,000 ",-86.892139,35.97722
" $10,000 ",-86.8241599,36.0952931
" $20,000 ",-86.8648602,36.1160445
" $313,054 ",-86.8648602,36.1160445
" $10,000 ",-86.892139,35.97722
" $100,000 ",-86.8648602,36.1160445
" $10,000 ",-86.8648602,36.1160445
" $200,000 ",-86.8241599,36.0952931
" $10,155 ",-77.02008917,38.9085082
" $5,000 ",-86.8648602,36.1160445
" $10,000 ",-86.8241599,36.0952931
" $9,513 ",-86.8648602,36.1160445
" $5,000 ",-83.743871,34.928787
" $5,000 ",-89.7994169,35.0892223
" $53,000 ",-73.8240974,40.9547574
" $7,000 ",-90.0526264,35.1456981
" $5,000 ",-86.7859195,36.0047052
" $40,000 ",-73.954711,40.772309
" $28,700 ",-73.950716,40.780762
" $50,000 ",-74.029804,40.623183
" $14,755 ",-73.990768,40.692991
" $5,000 ",-80.3682873,27.6857609
" $15,000 ",-72.3403686,40.9145287
" $70,000 ",-80.0378638,26.6751078
" $5,000 ",-80.0378638,26.6751078
" $25,000 ",-75.097681,40.350776
" $10,000 ",-80.0378638,26.6751078
" $5,000 ",-82.720203,27.7577
" $20,000 ",-82.532234,27.368832
" $5,000 ",-82.463528,27.2374043
" $10,000 ",-80.1398534,26.8500904
" $8,000 ",-82.5464786,28.0073978
" $7,688 ",-82.368667,28.124952
" $7,000 ",-82.7301675,28.0773556
" $35,000 ",-82.512098,27.265404
" $20,000 ",-82.6371126,27.3818705
" $102,050 ",-82.6479816,27.8739311
" $5,500 ",-82.638499,27.771935
" $5,525 ",-82.702734,28.1469808
" $5,256 ",-82.5055837,27.8900336
" $7,145 ",-82.508195,27.944754
" $12,000 ",-82.6267542,27.4592994
" $9,784 ",-82.669565,27.732934
" $5,000 ",-82.6436888,27.7397444
" $10,000 ",-82.463395,27.984442
" $12,000 ",-82.049366,26.914458
" $18,000 ",-82.4562483,28.2884067
" $5,000 ",-82.432871,27.962406
" $1,000,000 ",-82.506992,27.921873
" $5,125 ",-81.7683912,24.5634288
" $6,000 ",-82.3816231,27.0564704
" $10,000 ",-93.5893693,44.9025697
" $6,082 ",-82.3641249,26.9688233
" $40,000 ",-80.1232372,26.2280342
" $25,256 ",-81.804646,24.556117
" $7,000 ",-80.2146,26.2875
" $150,000 ",-80.2762,25.6787
" $18,109 ",-80.2762,25.6787
" $20,000 ",-82.081795,29.127211
" $30,822 ",-117.829622,33.601337
" $60,000 ",-117.7950655,33.7309232
" $10,000 ",-80.1272002,26.1032402
" $5,000 ",-78.6824098,37.2634727
" $6,025 ",-78.351855,38.022045
" $5,000 ",-86.7859195,36.0047052
" $15,379 ",-117.7687676,33.5421134
" $11,313 ",-86.8648602,36.1160445
" $10,000 ",-86.8747998,36.5059324
" $5,000 ",-74.0040577,40.7184927
" $10,000 ",-86.7943495,36.1507032
" $5,000 ",-80.150606,26.126566
" $65,000 ",-80.476361,25.476586
" $8,500 ",-89.77996,35.178294
" $6,036 ",-70.0926941,41.2726541
" $20,000 ",-85.857213,37.709569
" $5,000 ",-82.4706604,27.9393457
" $100,000 ",-80.0631499,26.712172
" $5,225 ",-73.950716,40.780762
" $8,000 ",-81.805713,26.193103
" $15,375 ",-73.9977772,40.7402758
" $15,000 ",-74.044415,41.184475
" $7,900 ",-73.987585,40.716266
" $10,000 ",-79.8554383,32.814218
" $8,000 ",-73.8784652,40.7409358
" $5,000 ",-93.4901288,45.0426658
" $12,000 ",-74.019618,40.929422
" $100,000 ",-83.7711422,42.5659857
" $59,883 ",-73.773944,43.078746
" $5,500 ",-86.6004339,36.3196652
" $60,000 ",-73.6942471,40.8323594
" $5,000 ",-73.6502828,40.7679236
" $5,000 ",-77.1197107,39.0529589
" $8,500 ",-73.704282,40.669856
" $48,050 ",-73.648165,41.057336
" $216,583 ",-73.6319627,41.0326267
" $35,183 ",-73.6319627,41.0326267
" $17,813 ",-73.648165,41.057336
" $5,000 ",-73.5992128,40.828639
" $6,000 ",-81.7201668,26.0839623
" $10,000 ",-80.2914,25.6371
" $10,500 ",-72.844839,40.763196
" $25,000 ",-73.6319627,41.0326267
" $57,813 ",-73.580683,41.036433
" $6,000 ",-70.7731454,43.0704253
" $10,000 ",-73.6319627,41.0326267
" $5,000 ",-73.648165,41.057336
" $10,000 ",-80.1272002,26.1032402
" $10,000 ",-80.201505,27.199665
" $13,000 ",-73.9583457,40.7687768
" $5,000 ",-97.7645263,30.2433446
" $15,000 ",-73.807817,40.904786
" $5,000 ",-75.137765,40.308445
" $6,375 ",-118.9955477,34.2191075
" $5,000 ",-80.1398534,26.8500904
" $12,500 ",-74.046304,40.135136
" $26,030 ",-81.6075295,40.9423217
" $5,000 ",-73.807817,40.904786
" $10,000 ",-73.6941469,41.2383581
" $6,050 ",-73.6889368,40.9703597
" $5,563 ",-73.7860754,40.9154762
" $160,000 ",-73.807817,40.904786
" $6,000 ",-73.7352669,40.9523348
" $11,556 ",-71.8869973,42.4392891
" $10,000 ",-71.7337439,42.1439467
" $16,750 ",-80.0638362,26.7829184
" $25,000 ",-71.86901,42.0495368
" $27,350 ",-72.6030622,42.1578044
" $8,025 ",-71.8134425,42.2721077
" $5,000 ",-71.7542717,42.5282368
" $6,036 ",-71.1224525,42.3774153
" $5,000 ",-84.3804849,33.8387356
" $39,705 ",-71.0745623,42.3493456
" $10,000 ",-71.2323292,42.2781042
" $10,000 ",-70.9565684,42.203642
" $7,625 ",-71.0625419,42.378074
" $5,000 ",-71.0178062,42.2687043
" $5,000 ",-71.174548,42.395613
" $30,000 ",-97.5018411,32.6556349
" $5,000 ",-70.6701298,42.6202867
" $5,000 ",-71.2086527,42.3203599
" $10,000 ",-73.355186,41.141749
" $5,000 ",-72.67333,42.073813
" $10,000 ",-80.3682873,27.6857609
" $5,000 ",-122.030684,47.669552
" $5,000 ",-72.731859,41.7326647
" $7,500 ",-73.4949455,41.151727
" $26,000 ",-72.904631,41.513846
" $10,000 ",-73.4258468,41.0937757
" $21,000 ",-73.4949455,41.151727
" $15,000 ",-72.8169616,41.4649874
" $10,000 ",-73.355186,41.141749
" $5,000 ",-75.213883,40.109536
" $50,000 ",-72.6073212,41.2911509
